Bug,Pool,Patch#,Time,CompileError,TestFailure
chart1,PTLRH,49,1:40,43,5
chart11,PTLRH,17,1:38,10,6
chart13,PTLRH,4756,4:44,4420,335
chart24,PLRT,322,1:40,216,104
chart25,PTLRH,8916,8:20,8480,435
chart26,PTLRH,6502,77:6,5893,608
chart3,PTLRH,11,1:16,8,2
chart4,PLRT,12142,83:41,10648,1492
chart5,PTLRH,167,1:26,137,29
chart6,PLRT,3068,5:44,2374,692
chart7,PTLRH,29,1:29,11,17
chart8,PTLRH,21,1:9,19,1
chart9,PTLRH,4509,4:17,4180,328
Bug,Pool,Patch#,Time,CompileError,TestFailure
closure10,PTLRH,5659,39:27,5129,529
closure115,PTLRH,4846,15:22,4577,268
closure126,PTLRH,172,2:50,171,0
closure13,PTLRH,1215,5:38,1156,58
closure21,PTLRH,24,4:20,20,3
closure22,PTLRH,3854,7:36,3630,223
closure38,PTLRH,2011,8:36,1801,209
closure46,PTLRH,1112,4:13,1078,33
closure62,PTLRH,535,4:32,484,50
closure63,PTLRH,1263,5:6,1072,190
closure66,PTLRH,2719,10:4,2625,93
Bug,Pool,Patch#,Time,CompileError,TestFailure
lang10,PTLRH,95,2:17,75,19
lang21,PLRT,339,2:20,200,137
lang22,PLRT,9024,61:28,7133,1889
lang26,PTLRH,1480,2:42,1318,161
lang27,PTLRH,2720,3:9,2428,291
lang31,PTLRH,243,1:24,201,41
lang39,PTLRH,254,1:14,205,48
lang43,PTLRH,559,4:37,526,32
lang59,PTLRH,88,0:52,47,40
lang6,PTLRH,579,1:27,517,61
lang60,PTLRH,1733,3:13,1419,313
lang61,PTLRH,1111,1:38,985,125
lang63,PTLRH,27,0:40,15,11
lang7,PTLRH,1523,2:53,1436,86
Bug,Pool,Patch#,Time,CompileError,TestFailure
math101,PLRT,5787,6:48,4993,792
math20,PLRT,10267,52:46,9544,721
math24,PTLRH,20,1:55,8,11
math28,PTLRH,611,2:14,589,21
math29,PTLRH,1766,2:54,1687,78
math3,PTLRH,130,3:36,63,66
math30,PTLRH,607,2:22,562,44
math40,PTLRH,609,2:53,530,78
math41,PLRT,2156,3:25,1871,283
math42,PTLRH,3540,6:57,3151,388
math49,PTLRH,348,1:44,330,17
math5,PTLRH,198,4:36,14,183
math50,PTLRH,155,1:33,139,15
math57,PTLRH,1098,3:26,1039,58
math62,PTLRH,224,1:16,215,8
math63,PTLRH,82,1:41,50,31
math64,PTLRH,8956,13:39,7273,1682
math7,PTLRH,2864,8:54,2709,154
math75,PLRT,2198,2:37,2008,188
math78,PTLRH,296,29:21,242,53
math79,PLRT,3834,9:59,1617,2215
math8,PTLRH,20,3:35,17,2
math80,PTLRH,82,4:2,24,57
math81,PTLRH,1,0:48,0,0
math82,PTLRH,87,0:47,83,3
math84,PTLRH,1145,1:31,1048,96
math85,PLRT,612,3:49,539,71
math88,PLRT,9643,11:42,8508,1133
math94,PTLRH,13,1:37,9,3
math95,PLRT,245,0:57,200,43
Bug,Pool,Patch#,Time,CompileError,TestFailure
time11,PTLRH,39,0:41,35,3
time4,PTLRH,5750,5:9,5412,337
time7,PTLRH,395,1:13,384,10
